SRR14118839_Human_LA_2021	SRR14669034_Human_TX_2021	23
SRR14118839_Human_LA_2021	SRR14752273_Human_NM_2021	24
SRR14118839_Human_LA_2021	SRR14760173_Human_NM_2021	24
SRR14118839_Human_LA_2021	SRR14993601_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR14994818_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR15060909_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR15103314_Human_NM_2021	23
SRR14118839_Human_LA_2021	SRR15508380_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR15528898_Human_AZ_2021	24
SRR14118839_Human_LA_2021	SRR15693031_Human_NM_2021	28
SRR14118839_Human_LA_2021	SRR15826273_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR15986971_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR15986990_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR15986993_Human_NM_2021	24
SRR14118839_Human_LA_2021	SRR16089429_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR16089430_Human_NM_2021	24
SRR14118839_Human_LA_2021	SRR16089517_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR16203520_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR16203529_Human_NM_2021	24
SRR14118839_Human_LA_2021	SRR16562755_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR16563358_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR16563498_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR16612792_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR16634204_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR16634554_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR16634605_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR16772076_Human_NM_2021	28
SRR14118839_Human_LA_2021	SRR16773443_NHPrimate_NM_2021	25
SRR14118839_Human_LA_2021	SRR16773444_NHPrimate_NM_2021	24
SRR14118839_Human_LA_2021	SRR16947718_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR17009536_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17009537_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR17009538_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR17009539_Human_NM_2021	28
SRR14118839_Human_LA_2021	SRR17100088_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR17100090_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR17100118_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR17100130_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR17100247_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17179909_Human_NM_2021	24
SRR14118839_Human_LA_2021	SRR17179910_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR17179911_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17239971_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17240352_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17335830_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17335831_Human_NM_2021	28
SRR14118839_Human_LA_2021	SRR17335832_Human_NM_2021	27
SRR14118839_Human_LA_2021	SRR17335833_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17335834_Human_NM_2021	26
SRR14118839_Human_LA_2021	SRR17335835_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17410054_Human_NM_2021	28
SRR14118839_Human_LA_2021	SRR17410208_Human_NM_2021	25
SRR14118839_Human_LA_2021	SRR17838858_Human_NM_2022	25
SRR14118839_Human_LA_2021	SRR17838860_Human_NM_2022	24
SRR14118839_Human_LA_2021	SRR17838865_Human_NM_2022	27
SRR14118839_Human_LA_2021	SRR17838874_Human_NM_2022	25
SRR14118839_Human_LA_2021	SRR17838888_Human_NM_2022	27
SRR14118839_Human_LA_2021	SRR18170978_Human_NM_2022	31
SRR14118839_Human_LA_2021	SRR18521877_Human_NM_2022	25
SRR14118839_Human_LA_2021	SRR18605040_Human_NM_2022	29
SRR14118839_Human_LA_2021	SRR18735296_Human_NM_2022	32
SRR14118839_Human_LA_2021	SRR18735297_Human_NM_2022	33
SRR14118839_Human_LA_2021	SRR18925511_Human_NM_2022	25
SRR14118839_Human_LA_2021	SRR19172446_Human_NM_2022	28
SRR14118839_Human_LA_2021	SRR19172538_Human_NM_2022	29
SRR14118839_Human_LA_2021	SRR19226358_Human_NM_2022	32
SRR14118839_Human_LA_2021	SRR19379263_Human_NM_2022	28
SRR14118839_Human_LA_2021	SRR19645277_Human_NM_2022	29
SRR14118839_Human_LA_2021	SRR19645280_Human_NM_2022	30
SRR14118839_Human_LA_2021	SRR19649532_Human_NM_2022	26
SRR14118839_Human_LA_2021	SRR19649563_Human_NM_2022	27
SRR14118839_Human_LA_2021	SRR19846537_Human_NM_2022	26
SRR14118839_Human_LA_2021	SRR19846546_Human_NM_2022	29
SRR14118839_Human_LA_2021	SRR19870152_Human_NM_2022	31
SRR14118839_Human_LA_2021	SRR20006010_Human_NM_2022	28
SRR14118839_Human_LA_2021	SRR20006012_Human_NM_2022	27
SRR14118839_Human_LA_2021	SRR20082111_NHPrimate_NM_2022	35
SRR14118839_Human_LA_2021	SRR20649173_Human_NM_2022	25
SRR14118839_Human_LA_2021	SRR20649175_Human_NM_2022	27
SRR14118839_Human_LA_2021	SRR21003523_Human_NM_2022	26
SRR14118839_Human_LA_2021	SRR21006412_Human_NM_2022	30
SRR14118839_Human_LA_2021	SRR21006413_Human_NM_2022	29
SRR14118839_Human_LA_2021	SRR21006422_Human_NM_2022	28
